seed,horizon,model,median_km,rank,is_best,router_pick
99,12h,SECE v2 Phase3,37.769,2,False,SECE NNLS champions
99,12h,Random Forest,38.387,3,False,
99,12h,LightGBM,39.173,4,False,
99,12h,XGBoost,39.339,5,False,
99,12h,Persistence Residual Cascade,39.396,6,False,
99,12h,CB+MotionNN,39.666,7,False,
99,12h,CatBoost,43.964,8,False,
99,24h,Stacking Ensemble,107.244,1,True,
99,24h,SECE v2 Phase3,107.244,2,False,Stacking Ensemble
99,24h,Persistence Residual Cascade,108.544,3,False,
99,24h,XGBoost,108.557,4,False,
99,24h,LightGBM,109.427,5,False,
99,24h,CB+MotionNN,109.556,6,False,
99,24h,Random Forest,110.267,7,False,
99,24h,CatBoost,113.533,8,False,
99,48h,Persistence Residual Cascade,259.05,1,True,
99,48h,SECE v2 Phase3,259.203,2,False,SECE km-NNLS
99,48h,CB+MotionNN,260.194,3,False,
99,48h,XGBoost,260.695,4,False,
99,48h,LightGBM,261.791,5,False,
99,48h,Stacking Ensemble,263.42,6,False,
99,48h,Random Forest,266.495,7,False,
99,48h,CatBoost,276.322,8,False,
123,3h,SECE v2 Phase3,4.494,1,True,STK+residual LGB
123,3h,Random Forest,4.533,2,False,
123,3h,Stacking Ensemble,4.579,3,False,
123,3h,CB+MotionNN,5.431,4,False,
123,3h,LightGBM,5.702,5,False,
123,3h,XGBoost,5.961,6,False,
123,3h,CatBoost,7.942,7,False,
123,3h,Persistence Residual Cascade,8.517,8,False,
123,12h,Stacking Ensemble,34.197,1,True,
123,12h,SECE v2 Phase3,34.223,2,False,SECE NNLS champions
123,12h,XGBoost,34.973,3,False,
123,12h,Random Forest,35.007,4,False,
123,12h,LightGBM,35.025,5,False,
123,12h,Persistence Residual Cascade,35.321,6,False,
123,12h,CB+MotionNN,37.006,7,False,
123,12h,CatBoost,38.6,8,False,
123,24h,XGBoost,92.02,1,True,
123,24h,SECE v2 Phase3,92.738,2,False,SECE NNLS champions
123,24h,LightGBM,93.051,3,False,
123,24h,Stacking Ensemble,93.215,4,False,
123,24h,Persistence Residual Cascade,93.997,5,False,
123,24h,Random Forest,94.393,6,False,
