SID,ISO_TIME,shear_grad_motion,wspd850_std_patch,msl_trough_dist_km,msl_trough_bearing_deg,msl_patch_anom,shear_asym_motion
1941277N07088,1941-10-08 06:00:00,0.0144153662472075,2.561650276184082,183.26312390162,129.34428789452562,-24.3671875,3.2901293893373342
1941277N07088,1941-10-08 09:00:00,-0.0113903386552527,2.403935194015503,89.6759035723145,111.69689387315827,-42.0390625,2.284086677201264
1941277N07088,1941-10-08 12:00:00,-0.00387081947521,3.098092555999756,217.40059875200907,137.62294030730055,-12.75,1.895078337131668
1941277N07088,1941-10-08 15:00:00,-0.0034269723801801,3.162231922149658,153.26297746311192,108.7981003026364,-40.28125,-2.6606116653038816
1941277N07088,1941-10-08 18:00:00,-0.0070478126384238,4.7640581130981445,161.03072446803134,63.06533549001841,-47.8203125,-0.1369752942895115
1941277N07088,1941-10-08 21:00:00,-0.0405749738999679,4.280572414398193,42.55579498158232,105.06997825473934,-96.765625,-3.188852295584772
1941277N07088,1941-10-09 00:00:00,0.0537046303514198,5.349999904632568,53.8899255871548,252.0676632596989,-86.4453125,-0.1412778883030698
1941277N07088,1941-10-09 03:00:00,0.0164924202673698,4.900966644287109,112.1650533084252,240.47019802982928,-24.4140625,1.714281722079123
1941277N07088,1941-10-09 06:00:00,0.0533334845544392,3.771320581436157,139.9349065363789,118.24100499078104,-10.4296875,3.7480897017455694
1941277N07088,1941-10-09 09:00:00,0.0710166658295425,3.712698459625244,154.61792387747727,72.9960659214056,10.71875,3.7226158555847775
1941277N07088,1941-10-09 12:00:00,0.0811591341963991,3.740318298339844,156.7193099412799,57.59378623591772,-55.1015625,4.38847397640953
1941277N07088,1941-10-09 15:00:00,0.005923250226729,3.253262042999268,135.79592869643596,51.90439738706107,-22.390625,1.835333754762672
1941277N07088,1941-10-09 18:00:00,-0.022251423881683,3.3211798667907715,135.79592869643596,51.90439738706107,-2.4765625,-1.1132801911748622
1941277N07088,1941-10-09 21:00:00,-0.0338618165260104,3.4229848384857178,156.7193099412799,57.59378623591772,-7.1640625,-1.0961981799982112
1941277N07088,1941-10-10 00:00:00,-0.0472710332763248,3.763945817947388,191.9840317249121,43.35775526709739,-25.3828125,-2.205582996260242
1941277N07088,1941-10-10 03:00:00,0.0207468895004558,3.799415349960327,156.7193099412799,57.59378623591772,-16.0,2.756773082808518
1941277N07088,1941-10-10 06:00:00,0.0492236270050925,4.024596214294434,156.7193099412799,57.59378623591772,28.140625,7.394117581767666
1941277N07088,1941-10-10 09:00:00,0.0599542046174982,3.3416264057159424,156.7193099412799,57.59378623591772,37.0234375,8.757320402034017
1941277N07088,1941-10-10 12:00:00,0.0377561208106162,3.1686699390411377,156.7193099412799,57.59378623591772,21.1171875,8.276456015052744
1941277N07088,1941-10-10 15:00:00,0.0246325932989778,2.573372840881348,173.02239209909538,49.75240951970727,16.1484375,3.996285759431638
1941277N07088,1941-10-10 18:00:00,0.0403399523667285,3.488340377807617,213.81727685166925,141.01752630998487,-3.953125,5.868764085601415
1941277N07088,1941-10-10 21:00:00,0.0663533152752745,4.2872185707092285,220.40252148554305,138.91099817292218,-3.421875,10.716039411574434
1941277N07088,1941-10-11 00:00:00,-0.0597613085797788,5.526937961578369,156.7193099412799,57.59378623591772,-16.2578125,-6.756926475144475
1941277N07088,1941-10-11 03:00:00,-0.0701728541245475,4.662591934204102,223.79995531244845,137.9044586126006,26.828125,-5.467833442876671
1941277N07088,1941-10-11 06:00:00,-0.0211944097355209,2.075864315032959,153.37620815914315,87.62698208079274,15.5390625,-1.1392417968570605
1941277N07088,1941-10-11 09:00:00,-0.0163966115027461,1.1864255666732788,156.06952809800225,71.01179711656198,-25.09375,-1.6683857528456834
1941277N07088,1941-10-11 12:00:00,0.0013797705252721,1.4216214418411257,220.06296980969583,139.00778263737732,-15.1640625,-1.0803095837853718
1941277N07088,1941-10-11 15:00:00,-0.0280205060288287,2.4351494312286377,202.6982786822953,142.4588712243867,-35.5625,-1.4333057795520254
1941277N07088,1941-10-11 18:00:00,-0.0404010948763048,2.74531626701355,171.3542216319863,147.34269205398977,-31.453125,-4.082751330517414
1941319N14083,1941-11-15 03:00:00,0.0444529114255604,1.200904130935669,209.85461191216808,222.265142514503,-1.8203125,2.1269184438287745
1941319N14083,1941-11-15 06:00:00,0.0265172492287991,1.1217117309570312,148.62122169290458,149.27997123836718,1.6171875,4.830044522148205
1941319N14083,1941-11-15 09:00:00,0.0497507357975836,1.0041314363479614,186.57532306354744,146.4398043583787,13.5390625,7.85819996654936
1941319N14083,1941-11-15 12:00:00,0.0416670607562177,0.7268805503845215,221.07234715893944,134.59398127865745,28.03125,5.421591082023432
1941319N14083,1941-11-15 15:00:00,0.0419418739019845,0.516029417514801,154.4160834482639,214.18809275017404,4.2578125,3.918977476998245
1941319N14083,1941-11-15 18:00:00,0.0411774137204377,0.4226416349411011,173.13668379385666,153.9628984791285,29.6171875,3.927620333546877
1941319N14083,1941-11-15 21:00:00,-4.852722897182142e-05,0.932890772819519,221.07234715893944,134.59398127865745,-17.75,-0.0228595343158914
1941319N14083,1941-11-16 00:00:00,-0.0035796472175585,0.7676117420196533,163.11691766077908,162.57134252766764,28.4375,0.7880259456380259
1941319N14083,1941-11-16 03:00:00,0.0480747666890992,0.6847283244132996,155.7669676791697,181.9971694803122,-11.7265625,2.8564624036129302
1941319N14083,1941-11-16 06:00:00,-0.0239322291716852,0.8112710118293762,178.14079986761774,209.1808848338505,-8.1796875,-2.9292564298229173
1941319N14083,1941-11-16 09:00:00,0.0171252653418991,0.8878120183944702,155.7669676791697,181.9971694803122,-5.1015625,4.600368254221989
