n_ibtracs_points,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,frac_track_not_main,frac_nature_nr,n_ready_points,frac_newdelhi_wind_missing_ready,frac_irregular_dt,frac_latnext_mismatch,genesis_year,SID
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1884.0,1884251N20089
114,1.0,1.0,1.0,0.0,0.0,110.0,1.0,0.0,0.0,1884.0,1884261N17088
13,1.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,1884.0,1884290N10082
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1884.0,1884298N16085
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1884.0,1884305N19090
5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1884.0,1884310N11082
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1884.0,1884349N08083
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1885.0,1885167N21090
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1885.0,1885177N21087
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1885.0,1885195N20088
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1885.0,1885204N21089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1885.0,1885228N21088
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1885.0,1885258N21088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1885.0,1885262N15093
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1885.0,1885306N13082
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1885.0,1885322N12082
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1886.0,1886143N11082
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1886.0,1886166N20089
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1886.0,1886198N20088
74,1.0,1.0,1.0,0.0,0.0,70.0,1.0,0.0,0.0,1886.0,1886224N16082
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1886.0,1886261N20088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1886.0,1886270N15089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1886.0,1886290N16087
106,1.0,1.0,1.0,0.0,0.0,102.0,1.0,0.0,0.0,1886.0,1886306N10092
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1886.0,1886319N11094
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1886.0,1886342N11085
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1887.0,1887141N16092
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1887.0,1887162N18088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1887.0,1887170N21088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1887.0,1887188N25082
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1887.0,1887191N23088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1887.0,1887193N23091
86,1.0,1.0,1.0,0.0,0.0,82.0,1.0,0.0,0.0,1887.0,1887198N21088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1887.0,1887229N18087
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1887.0,1887233N21088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1887.0,1887252N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1887.0,1887264N20088
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1887.0,1887280N11085
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1888.0,1888132N10081
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1888.0,1888184N24088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1888.0,1888194N19087
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1888.0,1888201N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1888.0,1888208N25083
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1888.0,1888217N21088
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1888.0,1888228N23088
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1888.0,1888234N21089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1888.0,1888250N20087
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1888.0,1888257N15099
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1888.0,1888275N15094
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1888.0,1888301N11091
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1888.0,1888347N10087
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1889.0,1889159N15087
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1889.0,1889200N21089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1889.0,1889208N21089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1889.0,1889217N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1889.0,1889228N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1889.0,1889260N17088
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1889.0,1889288N14083
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1889.0,1889298N21088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1889.0,1889322N13084
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1889.0,1889351N10081
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1889.0,1889357N14087
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1890.0,1890125N12094
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1890.0,1890169N19086
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1890.0,1890173N23089
