SID,era,trk,delta_km,horizon
1972335N08116,299.44899352011464,310.1230092448875,10.674015724772858,48h
1973193N20089,47.108701145731715,63.99395865315232,16.885257507420604,48h
1973200N21088,204.6072671997536,238.05746237756185,33.45019517780824,48h
1975007N08092,369.7026831799771,441.1631064661674,71.46042328619029,48h
1975305N15085,255.09210662795374,282.6431331100585,27.55102648210476,48h
1976240N21083,305.0511796463868,278.4731246167667,-26.57805502962009,48h
1976308N13088,468.5828978432003,442.9955004747459,-25.587397368454447,48h
1978217N16129,266.4507339690714,289.99428503579753,23.54355106672614,48h
1984213N20089,192.24184496899346,148.8272308406801,-43.41461412831336,48h
1985284N05159,149.97162944915522,147.22160689562952,-2.750022553525696,48h
1985317N12082,361.94283137044397,338.92157716625763,-23.021254204186334,48h
1986228N19120,541.7045644031991,468.5224587072441,-73.18210569595504,48h
1987219N08134,177.7307615175264,223.8973462828784,46.16658476535201,48h
1987336N10085,227.86674261405014,189.92006091223348,-37.94668170181666,48h
1988327N06100,235.30693859691948,262.253199450149,26.946260853229518,48h
1988341N08090,394.24177521210936,417.90730200523404,23.665526793124684,48h
1990226N19088,310.25249268032354,352.6735975978866,42.42110491756307,48h
1990272N11121,165.29953107672353,164.84064096049266,-0.4588901162308616,48h
1990348N04087,447.8538205481742,495.82757751117566,47.97375696300145,48h
1993336N05164,414.94994725481416,421.39029376450156,6.4403465096874015,48h
1994302N11086,155.6646656171358,208.81363442140199,53.14896880426619,48h
1996122N08092,122.08147996649465,124.1724767055024,2.0909967390077497,48h
1996163N08088,324.51781461026553,340.4061620812236,15.888347470958081,48h
1997216N20091,291.4573163030231,222.84197702069068,-68.61533928233243,48h
1998299N11090,317.42497274326155,380.7505102081544,63.325537464892875,48h
1998343N08114,213.38207650914842,180.431631089789,-32.950445419359426,48h
2000289N15089,236.01651701228033,167.25389909768774,-68.7626179145926,48h
2003295N09101,271.51180369148136,256.99080128174717,-14.521002409734194,48h
