role,SID,NAME,horizon,ISO_TIME,origin_lat,origin_lon,true_lat,true_lon,best_competitor_at_horizon,sece_v2_phase3_lat,sece_v2_phase3_lon,stacking_ensemble_lat,stacking_ensemble_lon,persistence_residual_cascade_lat,persistence_residual_cascade_lon,random_forest_lat,random_forest_lon,lightgbm_lat,lightgbm_lon,xgboost_lat,xgboost_lon,catboost_lat,catboost_lon,cbplusmotionnn_lat,cbplusmotionnn_lon
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 09:00:00,12.9,84.0,13.1,82.1,Stacking Ensemble,14.030639231735204,82.10756849433518,14.095959515658203,81.97514954828428,13.884481699104501,82.2223380196103,14.026666666666667,82.02866666666667,13.982841364514401,82.17656613243038,13.9092415,82.2177438,13.939077889950187,82.02994225521591,14.004710173546318,82.24522743965221
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 12:00:00,13.1,83.5,13.5,82.0,Stacking Ensemble,13.592692102244872,81.77519857475079,13.66625407894455,81.67435729341864,13.530374036431693,81.79819805667677,13.607666666666665,81.70866666666667,13.691189325802995,81.8078435903146,13.706456,81.8263706,13.71149459804719,81.74922211442265,13.509359890424326,81.89525545822512
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 15:00:00,13.1,83.0,13.5,81.8,Stacking Ensemble,13.437357732603695,81.65427245115366,13.333119334896498,81.57079707455472,13.480983720212016,81.64591004158977,13.414333333333332,81.655,13.413010726099834,81.62353469516836,13.41114838,81.6039118,13.36431458929021,81.39530210287738,13.444759380666214,81.69503739992594
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 18:00:00,13.1,82.6,13.6,81.5,Stacking Ensemble,13.493992182615338,81.27409087190804,13.349246305760863,81.21144671892363,13.47286352361252,81.34970440424644,13.456999999999999,81.22166666666666,13.445475125187999,81.34549419970683,13.4219332,81.37004379999999,13.324959208954871,81.14002298185233,13.517989956088604,81.36766794277565
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-18 21:00:00,13.1,82.1,13.9,81.5,Stacking Ensemble,13.974219146156177,81.34269825898417,13.906472035410998,81.08344045883327,13.702846310726144,81.1003768523524,13.966333333333335,81.16233333333334,13.838099407590931,81.19568366054214,13.80732164,81.10222949999999,13.627191358573631,80.86376673554793,14.010013821402834,81.54733621733699
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-19 00:00:00,13.5,82.0,14.0,81.5,Stacking Ensemble,14.367728075542459,81.42622563871456,14.506887854372048,81.1909650138079,14.189486970083067,81.29357989087971,14.411333333333333,81.152,14.323585920474795,81.36977884017831,14.34098226,81.32464993,14.370401947337182,81.48645355917888,14.331198448411813,81.71954455288179
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-19 03:00:00,13.5,81.8,14.1,81.4,Stacking Ensemble,14.031116040097702,80.7110873325592,13.961510441276285,80.62404372109758,13.973262508660927,80.7713267221214,14.013666666666666,80.565,13.979113809574228,80.69085733012898,13.9586811,80.6933815,13.877961481089113,80.89995357568888,14.041845146180602,80.89149801719122
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-19 06:00:00,13.6,81.5,14.6,81.1,Stacking Ensemble,14.502430729377048,80.93439793723215,14.386154132475859,80.6980266836266,14.315282669320545,80.86796432833373,14.496,80.687,14.364095041750081,80.80455275646484,14.32300893,80.8415435,14.217602565747693,80.61376533147019,14.537444101288166,81.20050012689235
era5_helped_24h_48h,2010137N10090,LAILA (2010),12h,2010-05-19 09:00:00,13.9,81.5,14.7,81.0,Stacking Ensemble,14.806564171470047,81.42061299034394,14.804219934406888,81.41067242180203,14.608789848862532,81.34233859369016,14.83,81.50133333333333,14.780094371751684,81.38207198705493,14.7689562,81.33099203,14.728536337628736,81.12544712147611,14.767558122729765,81.3419282978815
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-16 21:00:00,10.2,90.1,11.7,86.8,Stacking Ensemble,12.531126368817675,87.59857161282642,12.655401767744,87.55621171011154,12.435049766661072,87.64514971087966,12.527333333333331,87.65333333333332,12.394478718927013,87.49884143388945,12.443304,87.5727108,12.271086804333592,87.9142688270622,12.521645886392191,87.83034564365651
